OrderID,CustomerID,OrderDate,ShippedDate,ShippingCost,ShipCountry,ShipCity,ShippingCompany,DeliveryDays,DeliveryStatus,IsDomestic
1000.0,C001,2025-05-17,2025-07-30,234.09,Germany,Hamburg,Kiwilytics Goods Shipping LLC.,74.0,Late,Yes
1001.0,C002,2025-01-26,2025-07-30,320.61,Canada,Montreal,UPS Worldwide,185.0,Late,No
1002.0,C003,2025-03-08,2025-07-30,165.17,Canada,Vancouver,FedEx Logistics,144.0,Late,No
1003.0,C004,2025-03-24,2025-07-30,12.55,Germany,Munich,Aramex International,128.0,Late,Yes
1004.0,C005,2025-04-15,2025-07-30,186.36,Canada,Vancouver,FedEx Logistics,106.0,Late,No
1005.0,C006,2024-12-24,2025-07-30,74.93,Usa,New York,UPS Worldwide,218.0,Late,No
1006.0,C007,,2025-07-30,229.93,Usa,Los Angeles,Aramex International,,Unknown,No
1007.0,C008,2024-08-10,2025-07-30,209.94,Germany,Berlin,Aramex International,354.0,Late,Yes
1008.0,C009,2025-02-06,2025-07-30,234.09,Usa,Houston,DHL Express,174.0,Late,No
1009.0,C010,,2025-07-30,394.37,Usa,Chicago,Kiwilytics Goods Shipping LLC.,,Unknown,No
1010.0,C011,2024-12-03,2025-07-30,16.05,Germany,Unspecified,Aramex International,239.0,Late,Yes
1011.0,C012,2024-10-08,2025-07-30,391.79,Canada,Vancouver,DHL Express,295.0,Late,No
1012.0,C013,,2025-07-30,284.17,Canada,Vancouver,Kiwilytics Goods Shipping LLC.,,Unknown,No
1013.0,C014,2025-02-04,2025-07-30,128.94,Usa,New York,DHL Express,176.0,Late,No
1014.0,C015,2024-10-20,,345.8,Canada,Montreal,FedEx Logistics,,Unknown,No
1015.0,Unknown,2024-12-14,2025-07-30,141.77,Canada,Toronto,FedEx Logistics,228.0,Late,No
1016.0,C017,2025-06-04,2025-07-30,81.51,Germany,Munich,Kiwilytics Goods Shipping LLC.,56.0,Late,Yes
1017.0,C018,2024-11-07,2025-07-30,145.22,Usa,Chicago,DHL Express,265.0,Late,No
1018.0,C019,2024-12-09,2025-07-30,393.51,Egypt,Giza,UPS Worldwide,233.0,Late,No
1019.0,C020,2024-11-15,2025-07-30,234.09,Usa,Chicago,DHL Express,257.0,Late,No
1020.0,C021,2025-07-06,,252.94,Uk,Manchester,UPS Worldwide,,Unknown,No
1021.0,C022,2025-03-18,2025-07-30,234.35,Canada,Toronto,Aramex International,134.0,Late,No
1022.0,C023,2025-04-28,,13.32,Egypt,Giza,Aramex International,,Unknown,No
1023.0,C024,2025-07-06,2025-07-30,422.39,Egypt,Giza,Aramex International,24.0,Late,No
1024.0,C025,,2025-07-30,432.48,Uk,London,DHL Express,,Unknown,No
1025.0,C026,2025-03-02,2025-07-30,221.0,Germany,Hamburg,Kiwilytics Goods Shipping LLC.,150.0,Late,Yes
1026.0,C027,2024-08-02,2025-07-30,329.01,Germany,Munich,UPS Worldwide,362.0,Late,Yes
1027.0,C028,2025-02-15,2025-07-30,157.21,Canada,Montreal,DHL Express,165.0,Late,No
1028.0,C029,2024-10-12,2025-07-30,350.69,Germany,Berlin,Aramex International,291.0,Late,Yes
1029.0,C030,2024-09-01,2025-07-30,97.04,Egypt,Alexandria,FedEx Logistics,332.0,Late,No
1030.0,C001,,2025-07-30,234.09,Uk,London,Aramex International,,Unknown,No
1031.0,C002,2024-10-31,2025-07-30,320.12,Canada,Montreal,Kiwilytics Goods Shipping LLC.,272.0,Late,No
1032.0,C003,2025-05-05,2025-07-30,393.17,Usa,Houston,Aramex International,86.0,Late,No
1033.0,C004,2025-01-03,2025-07-30,234.09,Germany,Berlin,Kiwilytics Goods Shipping LLC.,208.0,Late,Yes
1034.0,C005,2025-02-04,,188.86,Canada,Montreal,FedEx Logistics,,Unknown,No
1035.0,C006,2025-03-02,2025-07-30,107.9,Uk,Liverpool,UPS Worldwide,150.0,Late,No
1036.0,C007,2025-05-20,2025-07-30,98.16,Canada,Montreal,Aramex International,71.0,Late,No
1037.0,C008,,2025-07-30,23.19,Germany,Berlin,Kiwilytics Goods Shipping LLC.,,Unknown,Yes
1038.0,C009,2024-10-31,2025-07-30,472.06,Egypt,Cairo,UPS Worldwide,272.0,Late,No
1039.0,C010,2025-04-24,,400.87,Uk,Liverpool,FedEx Logistics,,Unknown,No
1040.0,C011,2025-01-30,2025-07-30,43.89,Usa,Los Angeles,Kiwilytics Goods Shipping LLC.,181.0,Late,No
1041.0,C012,2025-04-06,2025-07-30,399.57,Uk,Manchester,FedEx Logistics,115.0,Late,No
1042.0,C013,2025-05-02,2025-07-30,78.2,Canada,Montreal,FedEx Logistics,89.0,Late,No
1043.0,C014,2025-02-05,2025-07-30,133.81,Usa,Chicago,DHL Express,175.0,Late,No
1044.0,C015,2025-01-20,,217.33,Palestine,Gaza,UPS Worldwide,,Unknown,No
1044.0,C016,2025-06-02,,230.04,Uk,London,DHL Express,,Unknown,No
1046.0,C017,2024-08-05,,295.3,Canada,Montreal,FedEx Logistics,,Unknown,No
1047.0,C018,2024-09-04,2025-07-30,462.51,Usa,Chicago,Kiwilytics Goods Shipping LLC.,329.0,Late,No
1048.0,C019,2024-11-21,,214.97,Uk,London,Aramex International,,Unknown,No
1049.0,C020,2024-10-24,2025-07-30,234.09,Usa,New York,DHL Express,279.0,Late,No
1050.0,C021,2025-01-03,2025-07-30,273.08,Palestine,Gaza,Aramex International,208.0,Late,No
1051.0,C022,2025-04-24,2025-07-30,51.64,Egypt,Cairo,DHL Express,97.0,Late,No
1052.0,C023,2024-11-01,2025-07-30,332.22,Egypt,Alexandria,UPS Worldwide,271.0,Late,No
1053.0,C024,2024-11-25,2025-07-30,327.03,Palestine,Al Quds,Aramex International,247.0,Late,No
1054.0,C025,2025-04-13,2025-07-30,234.09,Germany,Munich,DHL Express,108.0,Late,Yes
1055.0,C026,2025-03-12,2025-07-30,483.74,Usa,Houston,FedEx Logistics,140.0,Late,No
1056.0,C027,2024-12-20,2025-07-30,400.15,Germany,Hamburg,Kiwilytics Goods Shipping LLC.,222.0,Late,Yes
1057.0,C028,2025-01-29,2025-07-30,58.32,Canada,Toronto,FedEx Logistics,182.0,Late,No
1058.0,C029,2025-03-01,2025-07-30,375.96,Egypt,Cairo,UPS Worldwide,151.0,Late,No
1059.0,C030,2025-02-21,2025-07-30,346.96,Usa,Chicago,UPS Worldwide,159.0,Late,No
1060.0,C001,2024-12-10,2025-07-30,193.32,Palestine,Al Quds,DHL Express,232.0,Late,No
1061.0,C002,2025-01-11,2025-07-30,342.98,Uk,London,FedEx Logistics,200.0,Late,No
1062.0,C003,2025-05-15,2025-07-30,83.87,Usa,Chicago,Aramex International,76.0,Late,No
1063.0,C004,2025-02-28,2025-07-30,246.56,Canada,Vancouver,DHL Express,152.0,Late,No
1064.0,C005,2024-12-05,2025-07-30,461.07,Palestine,Al Quds,DHL Express,237.0,Late,No
1065.0,C006,2024-12-13,2025-07-30,417.35,Usa,New York,FedEx Logistics,229.0,Late,No
1066.0,Unknown,2025-04-28,2025-07-30,180.68,Uk,Liverpool,Kiwilytics Goods Shipping LLC.,93.0,Late,No
1067.0,C008,2025-01-22,,394.29,Germany,Munich,UPS Worldwide,,Unknown,Yes
1068.0,C009,2024-11-12,2025-07-30,180.67,Usa,Houston,Aramex International,260.0,Late,No
1069.0,C010,2024-11-26,2025-07-30,363.78,Canada,Montreal,UPS Worldwide,246.0,Late,No
1070.0,C011,2024-11-04,2025-07-30,42.92,Palestine,Al Quds,DHL Express,268.0,Late,No
1071.0,C012,2024-10-27,2025-07-30,234.09,Usa,New York,Kiwilytics Goods Shipping LLC.,276.0,Late,No
1072.0,C013,2024-09-14,2025-07-30,327.51,Uk,London,DHL Express,319.0,Late,No
1073.0,C014,2025-05-06,2025-07-30,90.53,Canada,Unspecified,Kiwilytics Goods Shipping LLC.,85.0,Late,No
1074.0,C015,2024-10-12,2025-07-30,129.52,Germany,Hamburg,FedEx Logistics,291.0,Late,Yes
1075.0,C016,2024-11-29,2025-07-30,88.47,Germany,Munich,UPS Worldwide,243.0,Late,Yes
1076.0,C017,2024-09-14,2025-07-30,479.65,Uk,Manchester,DHL Express,319.0,Late,No
1077.0,C018,2025-05-14,2025-07-30,208.47,Canada,Toronto,Kiwilytics Goods Shipping LLC.,77.0,Late,No
1078.0,C019,2025-02-23,2025-07-30,323.83,Usa,Houston,Kiwilytics Goods Shipping LLC.,157.0,Late,No
